SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
293980,Cash loans,F,N,Y,0,103500.0,1216201.5,35689.5,1062000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-19098,-1916,-12013.0,-2634,,1,1,0,1,0,1,Sales staff,2.0,3,2,THURSDAY,5,0,0,0,0,0,0,Business Entity Type 3,0.5198018025534472,0.0771541445006931,0.24318648044201235,0.0825,0.0853,0.9767,,,0.0,0.1379,0.1667,,0.0743,,0.0766,,0.0,0.084,0.0885,0.9767,,,0.0,0.1379,0.1667,,0.076,,0.0798,,0.0,0.0833,0.0853,0.9767,,,0.0,0.1379,0.1667,,0.0756,,0.078,,0.0,,block of flats,0.0724,Panel,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
242717,Cash loans,M,Y,N,0,157500.0,526491.0,18909.0,454500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.007114,-13106,-1069,-7011.0,-1478,14.0,1,1,0,1,0,0,Drivers,2.0,2,2,FRIDAY,11,0,0,0,0,1,1,Construction,,0.3537046758197223,0.6940926425266661,0.0825,0.12,0.9881,0.8368,0.0213,0.0,0.1379,0.1667,0.2083,0.7829999999999999,0.0672,0.0917,0.0,0.0,0.084,0.1246,0.9881,0.8432,0.0215,0.0,0.1379,0.1667,0.2083,0.8008,0.0735,0.0955,0.0,0.0,0.0833,0.12,0.9881,0.8390000000000001,0.0214,0.0,0.1379,0.1667,0.2083,0.7966,0.0684,0.0933,0.0,0.0,reg oper account,block of flats,0.0721,Panel,No,0.0,0.0,0.0,0.0,-585.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
314082,Cash loans,M,Y,N,1,360000.0,1078200.0,34911.0,900000.0,Children,Working,Secondary / secondary special,Married,House / apartment,0.04622,-15382,-1600,-1635.0,-1635,1.0,1,1,1,1,0,0,Laborers,3.0,1,1,MONDAY,13,0,0,0,0,1,1,Trade: type 7,,0.6538942118113183,0.3506958432829587,0.0557,0.0331,0.9806,0.7348,,0.04,0.0345,0.3333,0.375,,0.0454,0.0461,0.0,0.0,0.0567,0.0343,0.9806,0.7452,,0.0403,0.0345,0.3333,0.375,,0.0496,0.048,0.0,0.0,0.0562,0.0331,0.9806,0.7383,,0.04,0.0345,0.3333,0.375,,0.0462,0.0469,0.0,0.0,reg oper account,block of flats,0.0447,"Stone, brick",No,0.0,0.0,0.0,0.0,-596.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
186040,Cash loans,M,Y,Y,0,270000.0,457312.5,36261.0,373500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.025164,-20816,-2370,-5191.0,-4265,8.0,1,1,0,1,0,1,Drivers,2.0,2,2,SUNDAY,10,0,0,0,0,1,1,Emergency,0.7542500518793921,0.6127840294761532,0.5744466170995097,0.2464,0.1615,0.9876,0.83,0.0512,0.24,0.2069,0.375,0.4167,0.0496,0.1992,0.262,0.0077,0.0085,0.2511,0.1676,0.9876,0.8367,0.0517,0.2417,0.2069,0.375,0.4167,0.0507,0.2176,0.273,0.0078,0.009000000000000001,0.2488,0.1615,0.9876,0.8323,0.0515,0.24,0.2069,0.375,0.4167,0.0504,0.2027,0.2667,0.0078,0.0087,reg oper account,block of flats,0.2359,Panel,No,9.0,0.0,9.0,0.0,-929.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,4.0
254526,Cash loans,F,N,Y,0,225000.0,1057500.0,44802.0,1057500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.031329,-18878,-119,-100.0,-2417,,1,1,0,1,0,0,,2.0,2,2,SATURDAY,12,0,0,0,0,1,1,Business Entity Type 3,0.4937425621105653,0.5839579236067592,0.807273923277881,0.0144,0.042,0.9707,0.5988,0.0019,0.0,0.069,0.0417,0.0833,0.0091,0.0118,0.0121,0.0,0.0,0.0147,0.0436,0.9707,0.6145,0.0019,0.0,0.069,0.0417,0.0833,0.0093,0.0129,0.0126,0.0,0.0,0.0146,0.042,0.9707,0.6042,0.0019,0.0,0.069,0.0417,0.0833,0.0093,0.012,0.0123,0.0,0.0,reg oper account,block of flats,0.0095,Block,No,0.0,0.0,0.0,0.0,-520.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
289221,Cash loans,F,N,N,0,261000.0,1701693.0,45018.0,1521000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029,-16180,-7277,-2616.0,-4103,,1,1,0,1,0,0,Medicine staff,2.0,3,3,WEDNESDAY,7,0,0,0,0,0,0,Medicine,0.537034300539149,0.5108847527034267,0.4436153084085652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1517.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
454483,Cash loans,F,N,Y,0,54000.0,523296.0,14692.5,414000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.025164,-23234,365243,-2694.0,-6046,,1,0,0,1,0,0,,1.0,2,2,MONDAY,10,0,0,0,0,0,0,XNA,,0.6319205430085026,0.8171723992791566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1525.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
100485,Revolving loans,M,Y,N,1,270000.0,810000.0,40500.0,810000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-11353,-651,-2513.0,-3962,8.0,1,1,1,1,1,0,Security staff,3.0,2,2,TUESDAY,9,0,0,0,0,0,0,Security,,0.33598122880493936,0.5779691187553125,0.1918,0.1417,0.995,,,0.08,0.069,0.375,,,,0.2408,,0.0,0.1954,0.1471,0.995,,,0.0806,0.069,0.375,,,,0.2509,,0.0,0.1936,0.1417,0.995,,,0.08,0.069,0.375,,,,0.2452,,0.0,,block of flats,0.1894,"Stone, brick",No,0.0,0.0,0.0,0.0,-443.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
348552,Cash loans,F,N,N,0,180000.0,497520.0,36202.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,Office apartment,0.025164,-17800,-3443,-6316.0,-1292,,1,1,1,1,1,0,,2.0,2,2,WEDNESDAY,12,1,1,0,1,1,0,Business Entity Type 3,0.3059317758829411,0.4638469036381471,,0.1629,0.0809,0.9826,,,0.0,0.0345,0.1667,,0.0486,,0.0775,,0.0646,0.166,0.0839,0.9826,,,0.0,0.0345,0.1667,,0.0497,,0.0808,,0.0684,0.1645,0.0809,0.9826,,,0.0,0.0345,0.1667,,0.0494,,0.0789,,0.0659,,block of flats,0.075,"Stone, brick",No,0.0,0.0,0.0,0.0,-1851.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
449568,Cash loans,F,N,N,1,247500.0,816660.0,26473.5,585000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.010556,-14731,-3131,-8869.0,-3170,,1,1,0,1,0,0,,3.0,3,3,FRIDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.800305293365624,0.3881435483135705,0.3791004853998145,0.1113,0.0844,0.9856,,,0.12,0.1034,0.3333,,0.0608,,0.1156,,0.0,0.1134,0.0875,0.9856,,,0.1208,0.1034,0.3333,,0.0622,,0.1204,,0.0,0.1124,0.0844,0.9856,,,0.12,0.1034,0.3333,,0.0619,,0.1177,,0.0,,block of flats,0.0909,"Stone, brick",No,0.0,0.0,0.0,0.0,-1713.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
173537,Cash loans,F,N,N,0,58050.0,332284.5,24844.5,297000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018029,-21317,365243,-1859.0,-4785,,1,0,0,1,0,0,,2.0,3,3,FRIDAY,5,0,0,0,0,0,0,XNA,0.6265016030238729,0.3096288896302463,0.4561097392782771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1590.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
200664,Revolving loans,M,N,Y,1,270000.0,270000.0,13500.0,270000.0,Unaccompanied,State servant,Higher education,Widow,House / apartment,0.002042,-15494,-6429,-621.0,-3919,,1,1,0,1,0,0,Core staff,2.0,3,3,TUESDAY,12,0,0,0,0,0,0,Police,,0.5225866474437176,0.1117563710719636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-193.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
442090,Cash loans,F,N,N,0,76500.0,675000.0,19737.0,675000.0,"Spouse, partner",Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0.006670999999999999,-22874,365243,-11746.0,-4222,,1,0,0,1,1,0,,2.0,2,2,FRIDAY,12,0,0,0,0,0,0,XNA,,0.7629729823888425,0.5280927512030451,0.033,0.0222,0.9757,0.6668,0.0,0.0,0.069,0.125,0.0,0.0168,0.0269,0.0241,0.0,0.0,0.0336,0.023,0.9757,0.6798,0.0,0.0,0.069,0.125,0.0,0.0171,0.0294,0.0252,0.0,0.0,0.0333,0.0222,0.9757,0.6713,0.0,0.0,0.069,0.125,0.0,0.017,0.0274,0.0246,0.0,0.0,not specified,block of flats,0.019,"Stone, brick",No,1.0,0.0,1.0,0.0,-1717.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
283916,Cash loans,M,Y,Y,1,180000.0,981000.0,41692.5,981000.0,"Spouse, partner",State servant,Higher education,Married,House / apartment,0.015221,-10720,-2122,-5361.0,-3378,20.0,1,1,0,1,0,0,Managers,3.0,2,2,MONDAY,7,0,0,0,1,1,1,Government,0.31130331779325104,0.1195015564530338,0.4507472818545589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
